TRACE-A	FREQ-A	TRACE-B	FREQ-B	TRACE-C	FREQ-C
-81.77	8141.818182	-82.82	8141.818182	-80.135	8141.818182
-81.716	8145.454546	-82.572	8145.454546	-79.793	8145.454546
-82.163	8149.09091	-82.905	8149.09091	-79.528	8149.09091
-81.718	8152.727273	-82.877	8152.727273	-79.902	8152.727273
-82.038	8156.363637	-82.461	8156.363637	-79.484	8156.363637
-81.062	8160.000001	-82.089	8160.000001	-79.584	8160.000001
-81.775	8163.636364	-82.537	8163.636364	-79.196	8163.636364
-81.494	8167.272728	-82.172	8167.272728	-79.679	8167.272728
-81.469	8170.909091	-82.412	8170.909091	-78.931	8170.909091
-81.905	8174.545455	-82.388	8174.545455	-79.225	8174.545455
-81.54	8178.181819	-82.405	8178.181819	-79.478	8178.181819
-80.921	8181.818182	-82.48	8181.818182	-79.644	8181.818182
-80.843	8185.454546	-82.306	8185.454546	-79.152	8185.454546
-81.759	8189.09091	-82.758	8189.09091	-79.918	8189.09091
-81.396	8192.727273	-82.793	8192.727273	-79.293	8192.727273
-82.342	8196.363637	-82.45	8196.363637	-79.491	8196.363637
-81.724	8200.000001	-82.871	8200.000001	-79.979	8200.000001
-81.753	8203.636364	-83.159	8203.636364	-79.796	8203.636364
-81.687	8207.272728	-82.715	8207.272728	-78.833	8207.272728
-81.481	8210.909091	-82.898	8210.909091	-80.455	8210.909091
-82.006	8214.545455	-82.983	8214.545455	-79.992	8214.545455
-81.669	8218.181819	-83.019	8218.181819	-79.747	8218.181819
-81.397	8221.818182	-82.72	8221.818182	-79.227	8221.818182
-81.678	8225.454546	-82.499	8225.454546	-79.996	8225.454546
-81.352	8229.09091	-82.699	8229.09091	-79.934	8229.09091
-81.226	8232.727273	-82.656	8232.727273	-79.317	8232.727273
-81.654	8236.363637	-82.848	8236.363637	-79.272	8236.363637
-80.684	8240.000001	-82.689	8240.000001	-78.961	8240.000001
-80.81	8243.636364	-82.505	8243.636364	-79.1	8243.636364
-81.19	8247.272728	-82.242	8247.272728	-79.241	8247.272728
